                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.91412,                0.52916,                0.96108,                0.85573,                 0.7085,                0.80942,                0.52935,                 1.0203,                0.60393,                 1.0306,             0.00042456,             0.00042456,             0.00042456
                     73,                0.92005,                0.53161,                 0.9618,                0.85984,                0.71233,                0.81686,                0.53838,                0.99478,                0.60278,                 1.0137,             0.00041041,             0.00041041,             0.00041041
                     74,                0.92942,                0.52944,                0.97032,                0.84314,                0.71066,                0.80917,                0.54005,                0.99807,                0.58593,                  1.018,             0.00039626,             0.00039626,             0.00039626
                     75,                0.92557,                0.52315,                0.95888,                0.81997,                0.74293,                0.81188,                0.53135,                 1.0249,                0.57336,                 1.0373,             0.00038211,             0.00038211,             0.00038211
                     76,                0.89302,                0.50956,                0.96344,                0.81096,                0.78385,                0.82958,                0.54106,                0.99617,                0.56286,                 1.0222,             0.00036797,             0.00036797,             0.00036797
                     77,                0.91303,                0.51139,                0.95503,                0.91994,                0.71895,                0.84704,                0.54858,                 1.0145,                0.55329,                 1.0216,             0.00035382,             0.00035382,             0.00035382
                     78,                0.89691,                0.52516,                0.95554,                0.92387,                0.73098,                0.84949,                0.55968,                0.99811,                0.56363,                 1.0176,             0.00033967,             0.00033967,             0.00033967
                     79,                0.93358,                0.52697,                0.95449,                0.82922,                0.76176,                 0.8251,                0.53883,                 1.0078,                0.57565,                 1.0284,             0.00032553,             0.00032553,             0.00032553
                     80,                0.91053,                0.51727,                  0.962,                0.75945,                0.80678,                 0.8247,                0.54622,                 1.0189,                0.57984,                 1.0279,             0.00031138,             0.00031138,             0.00031138
                     81,                0.87581,                0.49933,                0.96239,                0.83836,                0.75151,                0.82369,                0.54765,                 1.0083,                0.56399,                 1.0259,             0.00029723,             0.00029723,             0.00029723
                     82,                0.90321,                0.51246,                 0.9613,                0.88403,                0.76561,                0.83974,                0.55541,                  1.005,                0.55259,                 1.0266,             0.00028308,             0.00028308,             0.00028308
                     83,                0.89733,                0.50276,                 0.9537,                0.85906,                0.74451,                0.83167,                0.54512,                 1.0256,                0.58044,                  1.031,             0.00026894,             0.00026894,             0.00026894
                     84,                0.88446,                0.50998,                0.94769,                0.78194,                0.76757,                0.81852,                0.54194,                  1.001,                0.58477,                  1.021,             0.00025479,             0.00025479,             0.00025479
                     85,                0.87526,                0.48575,                0.94761,                0.79463,                 0.7601,                0.81208,                0.53689,                 1.0076,                0.57371,                 1.0188,             0.00024064,             0.00024064,             0.00024064
                     86,                0.86648,                0.48346,                0.93958,                0.84174,                 0.7358,                 0.8193,                0.53876,                 1.0069,                0.57228,                 1.0224,              0.0002265,              0.0002265,              0.0002265
                     87,                0.85301,                0.47365,                0.94458,                0.81545,                0.73388,                0.82326,                0.54522,                 1.0077,                0.55909,                 1.0197,             0.00021235,             0.00021235,             0.00021235
                     88,                0.86012,                0.48044,                0.95197,                0.81368,                0.72923,                0.81591,                0.53276,                 1.0132,                0.56799,                 1.0271,              0.0001982,              0.0001982,              0.0001982
                     89,                0.86755,                 0.4823,                0.93962,                0.82762,                0.73584,                0.81835,                 0.5379,                 1.0093,                 0.5708,                 1.0265,             0.00018406,             0.00018406,             0.00018406
                     90,                0.79647,                0.42525,                 0.9192,                0.86253,                0.72821,                0.82004,                0.53821,                 1.0113,                0.56595,                 1.0329,             0.00016991,             0.00016991,             0.00016991
                     91,                0.78997,                0.42767,                0.91967,                0.88654,                0.73224,                0.82421,                0.54494,                 1.0175,                0.55838,                 1.0352,             0.00015576,             0.00015576,             0.00015576
                     92,                0.79561,                 0.4245,                0.91347,                0.91446,                 0.7404,                0.83102,                0.54522,                 1.0088,                0.54161,                 1.0265,             0.00014161,             0.00014161,             0.00014161
                     93,                0.79001,                0.41638,                0.91453,                0.88752,                0.69989,                0.82567,                0.54693,                 1.0143,                0.55961,                  1.029,             0.00012747,             0.00012747,             0.00012747
                     94,                0.77501,                0.41214,                0.90677,                0.89971,                0.71095,                0.82677,                0.54366,                 1.0237,                0.55846,                 1.0307,             0.00011332,             0.00011332,             0.00011332
                     95,                0.78117,                0.41279,                0.91584,                0.92291,                0.70712,                 0.8328,                0.55986,                 1.0012,                0.55234,                 1.0209,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.77984,                0.41124,                0.90845,                0.93401,                0.70247,                0.83563,                0.55454,                 1.0061,                0.54333,                  1.025,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.76752,                0.40789,                0.90308,                0.86813,                0.74896,                0.84444,                0.55924,                 1.0094,                0.53812,                  1.026,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.77894,                0.40071,                0.91203,                0.86989,                0.74246,                0.83952,                0.55865,                 1.0028,                0.53673,                 1.0246,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                 0.7575,                0.39556,                0.89786,                0.86545,                 0.7596,                0.84221,                0.55751,                0.99858,                0.53612,                 1.0258,             4.2584e-05,             4.2584e-05,             4.2584e-05
